ISIN,volume,StartDate,EndDate,Trend
CH0010819867,6000,05/03/2021,05/18/2021,8.131440
CH0582581713,183,05/03/2021,05/18/2021,5.584016
CH0009153310,1900,05/03/2021,05/18/2021,5.266811
CH0006326851,4010,05/03/2021,05/18/2021,5.089443
CH0453226893,295,05/03/2021,05/18/2021,3.984982
CH0039542854,3751,04/30/2021,05/17/2021,3.687023
CH0010947627,0,04/30/2021,05/17/2021,3.677396
CH0002661731,10,04/30/2021,05/17/2021,3.599299
CH0522213468,469928,05/03/2021,05/18/2021,3.406588
CH0012268360,587,05/03/2021,05/18/2021,3.318326
CH0596280963,270000,05/03/2021,05/18/2021,3.294491
CH0256379097,18244,05/03/2021,05/18/2021,3.291872
CH0019396990,107,05/03/2021,05/18/2021,3.266525
CH0025536027,768,05/03/2021,05/18/2021,3.206184
CH0208062627,4143,05/03/2021,05/18/2021,2.977815
CH0100191136,3802786,05/03/2021,05/18/2021,2.949585
CH0276534614,7075,05/03/2021,05/18/2021,2.846646
CH0010570767,101,05/03/2021,05/18/2021,2.726619
CH0110303119,17906,05/03/2021,05/18/2021,2.694965
CH0038389992,3742,05/03/2021,05/18/2021,2.507187
CH0127480363,1572,05/03/2021,05/18/2021,2.362699
CH0346177709,65164,05/03/2021,05/18/2021,2.171658
CH0231351104,1304,05/03/2021,05/18/2021,2.078080
CH0005059438,20,05/03/2021,05/18/2021,2.028354
CH0029850754,54334,05/03/2021,05/18/2021,2.022432
CH0001624714,682,04/30/2021,05/17/2021,1.839130
CH0527044959,270,05/03/2021,05/18/2021,1.836164
CH0001307757,20,04/30/2021,05/17/2021,1.773964
CH0531751755,3635,05/03/2021,05/18/2021,1.768852
CH0404880129,4645,05/03/2021,05/18/2021,1.716385
CH0025343259,763,05/03/2021,05/18/2021,1.712457
CH0011432447,3067,05/03/2021,05/18/2021,1.678793
CH0110240600,11072,05/03/2021,05/18/2021,1.676400
CH0000816824,37695,05/03/2021,05/18/2021,1.651831
CH0012829898,611,05/03/2021,05/18/2021,1.627795
CH0126645776,8000,05/03/2021,05/18/2021,1.610066
CH0023405456,61203,05/03/2021,05/18/2021,1.547992
CH0011115703,57,04/30/2021,05/17/2021,1.547390
CH0102659627,8911,05/03/2021,05/18/2021,1.481682
CH0363463438,38153,05/03/2021,05/18/2021,1.356590
CH0212255803,1334,05/03/2021,05/18/2021,1.330557
CH0406705126,2036,05/03/2021,05/18/2021,1.316113
CH0225173167,12185,05/03/2021,05/18/2021,1.239121
CH0493891243,6,05/03/2021,05/18/2021,1.191710
CH0024666528,196,05/03/2021,05/18/2021,1.174785
CH0367427686,2901,05/03/2021,05/18/2021,1.173620
CH0012530207,1104,05/03/2021,05/18/2021,1.168010
CH0005795668,696864,05/03/2021,05/18/2021,1.152414
CH0305285295,450,04/30/2021,05/17/2021,1.148797
CH0008012236,11,05/03/2021,05/18/2021,1.110089
CH0018294154,4611,05/03/2021,05/18/2021,1.102954
CH0008702190,587,04/30/2021,05/17/2021,1.073439
CH0002178181,17637,05/03/2021,05/18/2021,1.067083
CH0542483745,319,05/03/2021,05/18/2021,1.063268
CH0039821084,22,05/03/2021,05/18/2021,1.016947
CH0238627142,955,05/03/2021,05/18/2021,1.008552
CH0014345117,118,05/03/2021,05/18/2021,0.991003
CH0009062099,101,05/03/2021,05/18/2021,0.961464
CH0012255144,36897,05/03/2021,05/18/2021,0.870126
CH0005319162,0,04/30/2021,05/17/2021,0.868128
CH0012410517,19885,05/03/2021,05/18/2021,0.852904
CH0025607331,31,05/03/2021,05/18/2021,0.807535
CH0524026959,103,05/03/2021,05/18/2021,0.800750
CH0386200239,9651,05/03/2021,05/18/2021,0.787685
CH0478634105,2,05/03/2021,05/18/2021,0.783168
CH0325814116,5950,05/03/2021,05/18/2021,0.769026
CH0011795959,772,05/03/2021,05/18/2021,0.704743
CH0028422100,1836,05/03/2021,05/18/2021,0.678362
CH0012100191,2377,05/03/2021,05/18/2021,0.670998
CH0118530366,709,05/03/2021,05/18/2021,0.641053
CH0030486770,693,05/03/2021,05/18/2021,0.637076
CH0420462266,532,04/30/2021,05/17/2021,0.633609
CH0012032113,13984,05/03/2021,05/18/2021,0.616835
CH0011029946,398,05/03/2021,05/18/2021,0.615070
CH0001473559,108,05/03/2021,05/18/2021,0.610903
CH0006372897,87,05/03/2021,05/18/2021,0.600547
CH0024590272,1037,05/03/2021,05/18/2021,0.600191
CH0030380734,2967,05/03/2021,05/18/2021,0.507216
CH0011108872,190,05/03/2021,05/18/2021,0.496158
CH0364749348,33462,05/03/2021,05/18/2021,0.489310
CH0033361673,4861,05/03/2021,05/18/2021,0.485556
CH0002271010,634,04/30/2021,05/17/2021,0.475110
CH0126639464,2355,05/03/2021,05/18/2021,0.457193
CH0319416936,12590,05/03/2021,05/18/2021,0.449947
CH0024736404,312,05/03/2021,05/18/2021,0.441281
CH0460027110,1360,05/03/2021,05/18/2021,0.406257
CH0002277314,0,04/30/2021,05/17/2021,0.389708
CH0048854746,6879,05/03/2021,05/18/2021,0.383104
CH0001340204,6,05/03/2021,05/18/2021,0.359170
CH0212186248,458,05/03/2021,05/18/2021,0.334564
CH0038388911,6315,05/03/2021,05/18/2021,0.311661
CH0530235594,1695,05/03/2021,05/18/2021,0.282740
CH0021545667,52,05/03/2021,05/18/2021,0.278364
CH0244017502,866,04/30/2021,05/17/2021,0.251843
CH0008837566,1048,05/03/2021,05/18/2021,0.238013
CH0002619481,9,05/03/2021,05/18/2021,0.202786
CH0011607683,800,05/03/2021,05/18/2021,0.164328
CH0130293662,13142,05/03/2021,05/18/2021,0.153630
CH0011003594,333,05/03/2021,05/18/2021,0.147224
CH0019199550,4247,05/03/2021,05/18/2021,0.141597
CH0024638212,8656,05/03/2021,05/18/2021,0.101064
CH0496451508,80418,05/03/2021,05/18/2021,0.083231
CH0010754924,308,05/03/2021,05/18/2021,0.070546
CH0032816131,1200,04/30/2021,05/17/2021,0.037885
CH0008038389,7206,05/03/2021,05/18/2021,0.008118
CH0005092751,0,04/30/2021,05/17/2021,0.000000
CH0007162958,0,04/30/2021,05/17/2021,0.000000
CH0184587159,0,04/30/2021,05/17/2021,0.000000
CH0034476959,0,04/30/2021,05/17/2021,0.000000
CH0550395120,0,04/30/2021,05/17/2021,0.000000
CH0242225198,0,04/30/2021,05/17/2021,0.000000
CH0252620700,0,04/30/2021,05/17/2021,0.000000
CH0433746457,0,04/30/2021,05/17/2021,0.000000
CH0454225696,0,04/30/2021,05/17/2021,0.000000
CH0027659793,0,08/11/2020,08/25/2020,-0.000000
CH0038459415,0,04/30/2021,05/17/2021,-0.000000
CH0006089921,354,04/30/2021,05/17/2021,-0.016790
CH0473243506,0,04/30/2021,05/17/2021,-0.033601
CH0012684657,439,05/03/2021,05/18/2021,-0.080389
CH0017875789,1556,05/03/2021,05/18/2021,-0.082694
CH0111677362,511,05/03/2021,05/18/2021,-0.085899
CH0148052126,2,05/03/2021,05/18/2021,-0.102734
CH0011693600,1101,04/30/2021,05/17/2021,-0.148410
CH0010675863,5388,05/03/2021,05/18/2021,-0.155329
CH0043238366,821483,05/03/2021,05/18/2021,-0.167483
CH0325094297,2095,04/30/2021,05/17/2021,-0.170841
CH0019107025,135,05/03/2021,05/18/2021,-0.206028
CH0350665672,7,04/30/2021,05/17/2021,-0.309343
CH0002432174,813,05/03/2021,05/18/2021,-0.329139
CH0273774791,9,05/03/2021,05/18/2021,-0.338523
CH0312309682,301,04/30/2021,05/17/2021,-0.350934
CH0016440353,1977,05/03/2021,05/18/2021,-0.361078
CH0189396655,1484,05/03/2021,05/18/2021,-0.373023
CH0009236461,154,05/03/2021,05/18/2021,-0.373849
CH0008207356,54,04/30/2021,05/17/2021,-0.398250
CH0284142913,86,05/03/2021,05/18/2021,-0.415606
CH0008967926,39,04/30/2021,05/17/2021,-0.423492
CH0002187810,53,05/03/2021,05/18/2021,-0.423957
CH0122527648,1068,04/30/2021,05/17/2021,-0.441972
CH0528751586,151,05/03/2021,05/18/2021,-0.473958
CH0045825517,21962,04/30/2021,05/17/2021,-0.484452
CH0187624256,1166,04/30/2021,05/17/2021,-0.492562
CH0027148649,72829,05/03/2021,05/18/2021,-0.524744
CH0190891181,734,05/03/2021,05/18/2021,-0.544642
CH0350494719,141,05/03/2021,05/18/2021,-0.569170
CH0014786500,4036,05/03/2021,05/18/2021,-0.587442
CH0012335540,6784,05/03/2021,05/18/2021,-0.637354
CH0001319265,15,05/03/2021,05/18/2021,-0.652350
CH0001503199,1336,05/03/2021,05/18/2021,-0.654381
CH0002361068,1000,04/30/2021,05/17/2021,-0.665875
CH0435377954,60305,05/03/2021,05/18/2021,-0.676093
CH0003245351,2211,05/03/2021,05/18/2021,-0.712081
CH0358541057,300,05/03/2021,05/18/2021,-0.744238
CH0011484067,261,05/03/2021,05/18/2021,-0.760066
CH0001341608,14,04/30/2021,05/17/2021,-0.760122
CH0003541510,356,05/03/2021,05/18/2021,-0.795831
CH0023868554,5335,05/03/2021,05/18/2021,-0.811046
CH0003671440,10131,05/03/2021,05/18/2021,-0.859396
CH0008531045,30,04/30/2021,05/17/2021,-0.904782
CH0033813293,0,04/30/2021,05/17/2021,-0.925678
CH0305951201,300,05/03/2021,05/18/2021,-0.930873
CH0009320091,562,05/03/2021,05/18/2021,-0.962609
CH0357679619,50000,05/03/2021,05/18/2021,-1.022298
CH0039651184,800,04/30/2021,05/17/2021,-1.079113
CH0360674466,22694,05/03/2021,05/18/2021,-1.133175
CH0532347462,4900,05/03/2021,05/18/2021,-1.148307
CH0003583256,0,04/30/2021,05/17/2021,-1.202257
CH0021218067,241937,05/03/2021,05/18/2021,-1.274842
CH0445395269,2400,05/03/2021,05/18/2021,-1.286942
CH0276837694,7719,05/03/2021,05/18/2021,-1.298778
CH0466642201,23588,05/03/2021,05/18/2021,-1.375638
CH0009691608,386,05/03/2021,05/18/2021,-1.397134
CH0003390066,878,05/03/2021,05/18/2021,-1.490134
CH0002088976,988,05/03/2021,05/18/2021,-1.560802
CH0371153492,3594,05/03/2021,05/18/2021,-1.690024
CH0014284498,2382,05/03/2021,05/18/2021,-1.714922
CH0010570759,5,05/03/2021,05/18/2021,-1.800343
CH0360826991,6417,05/03/2021,05/18/2021,-1.805817
CH0239229302,5998,05/03/2021,05/18/2021,-1.817001
CH0011339204,8359,05/03/2021,05/18/2021,-1.879644
CH0009002962,3278,05/03/2021,05/18/2021,-1.911721
CH0311864901,7597,05/03/2021,05/18/2021,-1.915023
CH0022427626,186,05/03/2021,05/18/2021,-1.930699
CH0038285679,21754,05/03/2021,05/18/2021,-1.951086
CH0009115129,15453,05/03/2021,05/18/2021,-1.984531
CH0468525222,2617,05/03/2021,05/18/2021,-1.992318
CH0126673539,5239,05/03/2021,05/18/2021,-2.067179
CH0011178255,160,05/03/2021,05/18/2021,-2.213715
CH0012949464,0,04/30/2021,05/17/2021,-2.348340
CH0010702154,5985,04/30/2021,05/17/2021,-2.395498
CH0100837282,936,05/03/2021,05/18/2021,-2.448117
CH0315966322,41,05/03/2021,05/18/2021,-2.455174
CH0002609656,328,04/30/2021,05/17/2021,-2.521418
CH0106213793,16186,04/30/2021,05/17/2021,-2.543963
CH0001625810,20,04/30/2021,05/17/2021,-2.748522
CH0239518779,72,05/03/2021,05/18/2021,-2.877263
CH0267291224,4585,03/18/2021,04/01/2021,-3.227016
CH0108503795,28446158,05/03/2021,05/18/2021,-3.267002
CH0003420806,167,05/03/2021,05/18/2021,-3.296132
CH0012627250,2927,05/03/2021,05/18/2021,-4.598285
CH0022268228,7260,05/03/2021,05/18/2021,-5.894548
CH0042615283,13706,05/03/2021,05/18/2021,-6.308344
CH0314029270,212965,05/03/2021,05/18/2021,-11.398025
