Date,Open,High,Low,Close,Adj Close,Volume
2018-05-15,40.000000,40.000000,37.070000,38.195000,38.195000,1511324
2018-05-16,38.005001,38.389999,37.259998,37.314999,37.314999,286910
2018-05-17,37.490002,37.500000,35.400002,35.400002,35.400002,104345
2018-05-18,35.400002,35.794998,33.099998,34.009998,34.009998,67550
2018-05-22,33.990002,34.500000,31.850000,32.099998,32.099998,77560
2018-05-23,32.400002,32.400002,30.200001,30.200001,30.200001,223316
2018-05-24,30.600000,32.290001,30.600000,31.900000,31.900000,80515
2018-05-25,32.294998,32.500000,31.125000,31.500000,31.500000,72621
2018-05-28,31.700001,32.730000,31.600000,31.700001,31.700001,31762
2018-05-29,32.080002,32.360001,31.540001,32.110001,32.110001,13998
2018-05-30,32.500000,32.750000,32.110001,32.459999,32.459999,23783
2018-05-31,32.680000,33.849998,32.099998,32.660000,32.660000,61433
2018-06-01,33.000000,33.000000,31.895000,32.384998,32.384998,8342
2018-06-04,32.950001,33.770000,31.549999,33.770000,33.770000,40539
2018-06-05,33.084999,33.130001,32.220001,32.244999,32.244999,11637
2018-06-06,32.445000,32.680000,32.005001,32.009998,32.009998,6341
2018-06-07,32.005001,33.020000,32.005001,32.474998,32.474998,18771
2018-06-08,32.255001,32.755001,32.255001,32.279999,32.279999,7678
2018-06-11,32.599998,32.599998,31.680000,31.959999,31.959999,10407
2018-06-12,32.000000,32.035000,31.000000,31.959999,31.959999,17945
2018-06-13,31.575001,31.889999,31.350000,31.575001,31.575001,9231
2018-06-14,31.575001,31.775000,28.820000,30.155001,30.155001,48035
2018-06-15,30.295000,30.985001,30.110001,30.415001,30.415001,10202
2018-06-18,30.434999,30.469999,30.110001,30.129999,30.129999,5479
2018-06-19,30.120001,30.594999,29.905001,30.594999,30.594999,12685
2018-06-20,30.799999,31.000000,29.590000,29.975000,29.975000,26081
2018-06-21,30.000000,30.000000,29.635000,29.995001,29.995001,3080
2018-06-22,29.950001,30.000000,29.750000,29.950001,29.950001,8108
2018-06-25,30.799999,32.500000,30.799999,31.750000,31.750000,66751
2018-06-26,31.799999,32.450001,31.200001,31.200001,31.200001,16096
2018-06-27,31.200001,32.099998,31.000000,31.799999,31.799999,28621
2018-06-28,31.900000,32.400002,31.600000,31.900000,31.900000,6982
2018-06-29,32.400002,32.400002,31.650000,31.650000,31.650000,3534
2018-07-02,32.349998,32.900002,31.750000,32.599998,32.599998,28621
2018-07-03,32.599998,32.599998,32.099998,32.450001,32.450001,7960
2018-07-04,32.500000,33.599998,31.950001,33.200001,33.200001,27315
2018-07-05,33.500000,33.900002,33.250000,33.849998,33.849998,11355
2018-07-06,33.900002,34.250000,33.549999,34.000000,34.000000,6624
2018-07-09,34.000000,34.000000,33.200001,33.400002,33.400002,13530
2018-07-10,32.900002,32.900002,31.600000,31.600000,31.600000,19775
2018-07-11,31.500000,32.599998,31.500000,32.599998,32.599998,66814
2018-07-12,32.700001,33.900002,32.700001,33.500000,33.500000,9540
2018-07-13,33.299999,33.549999,33.099998,33.099998,33.099998,2318
2018-07-16,32.700001,32.750000,31.850000,32.349998,32.349998,2733
2018-07-17,32.200001,33.200001,32.000000,32.599998,32.599998,7769
2018-07-18,32.099998,32.849998,31.850000,31.850000,31.850000,4335
2018-07-19,31.950001,32.900002,31.950001,32.799999,32.799999,2204
2018-07-20,32.799999,33.200001,32.200001,32.500000,32.500000,6584
2018-07-23,32.099998,32.900002,31.950001,32.000000,32.000000,10552
2018-07-24,31.950001,32.500000,31.200001,31.200001,31.200001,16659
2018-07-25,31.950001,32.450001,31.200001,32.400002,32.400002,7626
2018-07-26,32.400002,33.200001,32.000000,32.250000,32.250000,5592
2018-07-27,33.099998,34.000000,31.549999,31.750000,31.750000,18704
2018-07-30,32.000000,33.400002,31.500000,32.099998,32.099998,7798
2018-07-31,32.349998,32.799999,31.549999,31.549999,31.549999,1608
2018-08-02,32.500000,33.500000,32.049999,33.500000,33.500000,11830
2018-08-03,32.049999,33.500000,32.049999,33.049999,33.049999,1679
2018-08-06,33.049999,33.049999,31.750000,32.700001,32.700001,3601
2018-08-07,32.500000,33.500000,32.500000,33.000000,33.000000,5713
2018-08-08,33.500000,33.700001,32.799999,33.700001,33.700001,4763
2018-08-09,32.750000,33.849998,32.400002,32.400002,32.400002,2436
2018-08-10,32.400002,33.700001,32.400002,33.250000,33.250000,3354
2018-08-13,33.000000,33.650002,31.750000,31.750000,31.750000,8938
2018-08-14,32.049999,32.950001,31.549999,31.650000,31.650000,3964
2018-08-15,31.900000,32.599998,31.600000,32.500000,32.500000,3596
2018-08-16,31.700001,32.549999,31.500000,31.500000,31.500000,2499
2018-08-17,31.600000,32.049999,31.049999,31.750000,31.750000,4442
2018-08-20,31.900000,32.000000,31.150000,31.450001,31.450001,3360
2018-08-21,31.299999,31.500000,31.100000,31.100000,31.100000,3009
2018-08-22,31.400000,31.950001,31.250000,31.250000,31.250000,3297
2018-08-23,31.500000,31.500000,31.049999,31.049999,31.049999,5998
2018-08-24,31.250000,31.250000,31.000000,31.200001,31.200001,5622
2018-08-27,31.250000,31.500000,31.150000,31.500000,31.500000,2319
2018-08-28,30.650000,31.500000,30.650000,31.150000,31.150000,921
2018-08-29,31.049999,31.450001,31.049999,31.100000,31.100000,1780
2018-08-30,31.049999,31.500000,30.750000,30.950001,30.950001,5400
2018-08-31,30.799999,31.400000,30.500000,31.100000,31.100000,2863
2018-09-03,31.250000,31.250000,30.549999,30.700001,30.700001,3096
2018-09-04,30.799999,30.799999,30.100000,30.400000,30.400000,2179
2018-09-05,30.049999,30.900000,30.000000,30.850000,30.850000,4944
2018-09-06,30.500000,32.000000,30.500000,31.950001,31.950001,36570
2018-09-07,31.850000,32.900002,31.500000,32.549999,32.549999,8104
2018-09-10,32.950001,33.200001,32.000000,32.349998,32.349998,5742
2018-09-11,32.950001,33.000000,32.299999,32.849998,32.849998,6329
2018-09-12,31.850000,33.000000,31.450001,33.000000,33.000000,4235
2018-09-13,33.000000,33.000000,31.000000,32.950001,32.950001,3414
2018-09-14,32.000000,32.549999,31.700001,32.000000,32.000000,978
2018-09-17,31.600000,33.099998,31.500000,31.549999,31.549999,3014
2018-09-18,32.700001,33.000000,31.450001,31.750000,31.750000,2953
2018-09-19,31.600000,31.799999,31.400000,31.400000,31.400000,1427
2018-09-20,31.500000,32.000000,30.799999,32.000000,32.000000,6486
2018-09-21,31.100000,32.799999,31.100000,32.799999,32.799999,3956
2018-09-24,33.000000,34.750000,32.700001,33.599998,33.599998,34706
2018-09-25,34.000000,34.000000,33.000000,33.799999,33.799999,2848
2018-09-26,33.049999,33.349998,33.000000,33.000000,33.000000,1521
2018-09-27,33.799999,33.799999,33.000000,33.000000,33.000000,1916
2018-09-28,33.049999,33.549999,32.799999,33.150002,33.150002,3348
2018-10-01,32.299999,33.799999,32.299999,33.000000,33.000000,5070
2018-10-02,33.650002,33.799999,33.299999,33.799999,33.799999,3596
2018-10-03,33.799999,34.000000,33.400002,33.950001,33.950001,1052
2018-10-04,34.000000,34.000000,32.500000,33.500000,33.500000,8865
2018-10-05,33.900002,34.000000,33.049999,33.900002,33.900002,3746
2018-10-08,34.099998,34.500000,33.500000,34.000000,34.000000,7051
2018-10-09,34.000000,34.400002,33.500000,33.950001,33.950001,2380
2018-10-10,33.500000,33.950001,31.400000,31.549999,31.549999,7511
2018-10-11,30.299999,33.250000,30.299999,30.700001,30.700001,10541
2018-10-12,30.799999,31.950001,30.549999,30.850000,30.850000,7389
2018-10-15,30.799999,31.900000,30.799999,31.150000,31.150000,3723
2018-10-16,31.100000,32.000000,31.000000,31.049999,31.049999,2456
2018-10-17,31.000000,31.450001,30.799999,31.200001,31.200001,3301
2018-10-18,30.799999,31.450001,30.799999,31.450001,31.450001,2941
2018-10-19,30.549999,31.400000,30.400000,30.750000,30.750000,5993
2018-10-22,30.350000,30.850000,30.350000,30.750000,30.750000,3029
2018-10-23,30.799999,30.850000,28.299999,29.950001,29.950001,19120
2018-10-24,30.000000,30.000000,26.000000,27.700001,27.700001,18092
2018-10-25,27.450001,27.450001,25.350000,26.000000,26.000000,21785
2018-10-26,26.100000,26.100000,24.750000,25.000000,25.000000,16891
2018-10-29,27.000000,27.500000,25.500000,26.000000,26.000000,14945
2018-10-30,26.000000,27.700001,25.500000,26.500000,26.500000,3025
2018-10-31,27.000000,27.000000,25.000000,26.350000,26.350000,10780
2018-11-01,26.350000,26.650000,25.250000,25.700001,25.700001,4494
2018-11-02,25.200001,26.450001,25.200001,26.450001,26.450001,6245
2018-11-05,26.650000,26.650000,26.049999,26.500000,26.500000,13247
2018-11-06,26.600000,27.049999,26.000000,27.000000,27.000000,11324
2018-11-07,27.250000,27.250000,26.850000,27.000000,27.000000,13036
2018-11-08,27.000000,27.250000,26.650000,26.900000,26.900000,13392
2018-11-09,27.200001,27.500000,26.250000,26.400000,26.400000,7300
2018-11-12,26.850000,26.850000,25.750000,25.750000,25.750000,3761
2018-11-13,25.750000,25.750000,25.100000,25.700001,25.700001,4680
2018-11-14,25.200001,25.200001,23.250000,24.299999,24.299999,19578
2018-11-15,24.350000,24.400000,23.000000,23.100000,23.100000,8506
2018-11-16,24.000000,24.500000,23.299999,23.600000,23.600000,3604
2018-11-19,23.250000,24.900000,23.100000,23.700001,23.700001,936
2018-11-20,23.150000,24.500000,22.250000,22.500000,22.500000,8829
2018-11-21,22.600000,23.400000,22.000000,22.799999,22.799999,5200
2018-11-22,23.500000,23.500000,21.200001,22.950001,22.950001,11154
2018-11-23,22.600000,23.950001,22.000000,22.000000,22.000000,9389
2018-11-26,22.400000,23.400000,22.400000,22.650000,22.650000,2005
2018-11-27,23.250000,23.250000,21.549999,22.000000,22.000000,9188
2018-11-28,22.200001,23.000000,21.950001,22.200001,22.200001,7888
2018-11-29,22.350000,23.000000,22.049999,22.299999,22.299999,6016
2018-11-30,22.049999,22.400000,22.000000,22.000000,22.000000,2492
2018-12-03,23.350000,23.350000,21.299999,21.950001,21.950001,6396
2018-12-04,21.799999,21.850000,20.000000,20.549999,20.549999,17232
2018-12-05,20.549999,21.000000,20.350000,20.950001,20.950001,5943
2018-12-06,20.850000,20.950001,20.450001,20.950001,20.950001,3036
2018-12-07,20.799999,21.549999,20.200001,20.799999,20.799999,6708
2018-12-10,20.299999,21.100000,20.250000,21.049999,21.049999,2068
2018-12-11,21.750000,22.000000,21.150000,21.799999,21.799999,3387
2018-12-12,21.950001,22.500000,21.950001,22.500000,22.500000,4195
2018-12-13,22.900000,23.299999,22.799999,23.250000,23.250000,1371
2018-12-14,22.549999,23.299999,22.500000,22.500000,22.500000,2888
2018-12-17,22.299999,22.299999,21.500000,21.500000,21.500000,167
2018-12-18,22.000000,22.000000,19.100000,19.320000,19.320000,56098
2018-12-19,19.219999,19.219999,18.000000,19.000000,19.000000,17986
2018-12-20,19.000000,19.000000,18.600000,18.680000,18.680000,5221
2018-12-21,18.799999,19.000000,18.660000,18.959999,18.959999,8346
2018-12-27,18.980000,18.980000,17.500000,17.799999,17.799999,22924
2018-12-28,17.620001,17.920000,17.559999,17.840000,17.840000,5448
2019-01-03,18.299999,18.299999,16.280001,16.700001,16.700001,60908
2019-01-04,16.700001,17.480000,16.540001,16.799999,16.799999,17015
2019-01-07,17.000000,17.100000,16.799999,16.959999,16.959999,12843
2019-01-08,16.820000,17.320000,16.600000,16.980000,16.980000,18525
2019-01-09,17.000000,18.320000,16.860001,18.320000,18.320000,18846
2019-01-10,18.260000,19.320000,18.020000,19.320000,19.320000,5614
2019-01-11,19.299999,19.340000,18.340000,18.340000,18.340000,5166
2019-01-14,19.160000,19.160000,18.000000,18.000000,18.000000,5414
2019-01-15,18.299999,19.320000,18.299999,18.820000,18.820000,5015
2019-01-16,19.500000,21.299999,19.320000,20.500000,20.500000,23406
2019-01-17,20.799999,21.000000,20.200001,20.200001,20.200001,5353
2019-01-18,20.400000,21.049999,20.400000,20.900000,20.900000,5342
2019-01-21,21.850000,21.850000,20.650000,20.799999,20.799999,5105
2019-01-22,20.850000,21.299999,20.799999,20.799999,20.799999,5658
2019-01-23,21.600000,21.600000,20.799999,20.799999,20.799999,4451
2019-01-24,21.049999,21.049999,20.700001,20.950001,20.950001,8112
2019-01-25,20.600000,21.650000,20.600000,21.650000,21.650000,4335
2019-01-28,22.700001,23.000000,21.450001,23.000000,23.000000,12081
2019-01-29,23.000000,23.000000,22.049999,22.049999,22.049999,2287
2019-01-30,22.950001,22.950001,22.350000,22.350000,22.350000,1336
2019-01-31,22.350000,22.950001,22.100000,22.299999,22.299999,1180
2019-02-01,22.650000,23.000000,22.650000,23.000000,23.000000,2014
2019-02-04,23.000000,23.000000,21.600000,21.600000,21.600000,7426
2019-02-05,21.400000,21.850000,21.299999,21.500000,21.500000,2483
2019-02-06,21.150000,21.600000,21.150000,21.299999,21.299999,5779
2019-02-07,21.250000,21.250000,20.350000,20.350000,20.350000,6542
2019-02-08,20.350000,20.350000,20.350000,20.350000,20.350000,0
2019-02-11,20.750000,20.750000,20.500000,20.500000,20.500000,858
2019-02-12,20.500000,21.000000,20.500000,21.000000,21.000000,1435
2019-02-13,21.350000,21.650000,21.000000,21.000000,21.000000,2433
2019-02-14,21.500000,21.500000,20.600000,20.600000,20.600000,1711
2019-02-15,21.000000,21.200001,20.600000,20.700001,20.700001,4443
2019-02-18,21.500000,21.500000,21.500000,21.500000,21.500000,500
2019-02-19,20.750000,20.750000,20.700001,20.700001,20.700001,992
2019-02-20,20.750000,21.750000,20.750000,21.750000,21.750000,5308
2019-02-21,20.750000,21.250000,20.750000,21.000000,21.000000,3408
2019-02-22,21.750000,21.750000,21.250000,21.250000,21.250000,752
2019-02-25,21.700001,21.700001,21.000000,21.250000,21.250000,8592
2019-02-26,21.000000,21.000000,20.250000,20.600000,20.600000,7336
2019-02-27,20.600000,21.200001,20.600000,20.650000,20.650000,2344
2019-02-28,21.000000,21.000000,20.600000,20.600000,20.600000,4270
2019-03-01,20.700001,21.000000,20.000000,20.400000,20.400000,10895
2019-03-04,20.600000,21.250000,20.600000,21.250000,21.250000,5995
2019-03-05,21.350000,22.250000,21.049999,22.250000,22.250000,3195
2019-03-06,22.000000,22.000000,21.299999,21.350000,21.350000,327
2019-03-07,21.750000,22.000000,21.000000,21.299999,21.299999,3871
2019-03-08,21.299999,21.700001,20.900000,21.150000,21.150000,924
2019-03-11,21.150000,21.700001,21.100000,21.700001,21.700001,855
2019-03-12,21.150000,21.400000,20.650000,20.650000,20.650000,811
2019-03-13,20.450001,20.450001,20.250000,20.250000,20.250000,5378
2019-03-14,21.150000,21.150000,20.000000,20.200001,20.200001,7113
2019-03-15,20.200001,21.100000,20.200001,20.299999,20.299999,3269
2019-03-18,20.799999,20.799999,20.049999,20.049999,20.049999,4779
2019-03-19,20.100000,20.100000,19.799999,19.799999,19.799999,12345
2019-03-20,20.100000,20.200001,20.000000,20.200001,20.200001,4314
2019-03-21,20.600000,21.000000,20.600000,21.000000,21.000000,2495
2019-03-22,21.049999,21.400000,20.600000,21.400000,21.400000,3784
2019-03-25,20.750000,20.750000,20.700001,20.750000,20.750000,655
2019-03-26,20.700001,20.700001,20.700001,20.700001,20.700001,500
2019-03-27,21.299999,21.400000,20.549999,20.799999,20.799999,616
2019-03-28,20.600000,20.799999,20.600000,20.799999,20.799999,780
2019-03-29,20.549999,20.549999,20.549999,20.549999,20.549999,240
2019-04-01,20.950001,20.950001,20.600000,20.900000,20.900000,3302
2019-04-02,20.799999,20.799999,20.299999,20.299999,20.299999,1318
2019-04-03,20.450001,20.799999,20.450001,20.799999,20.799999,605
2019-04-04,20.900000,21.850000,20.900000,21.299999,21.299999,4422
2019-04-05,21.400000,21.850000,21.400000,21.450001,21.450001,2115
2019-04-08,22.000000,22.150000,21.549999,22.150000,22.150000,7208
2019-04-09,22.400000,22.799999,22.000000,22.100000,22.100000,6135
2019-04-10,22.750000,23.200001,22.750000,23.200001,23.200001,1835
2019-04-11,23.200001,23.200001,22.549999,22.549999,22.549999,4276
2019-04-12,23.799999,26.500000,23.799999,25.900000,25.900000,63371
2019-04-15,28.000000,28.000000,26.400000,26.900000,26.900000,34186
2019-04-16,27.400000,27.500000,26.100000,26.100000,26.100000,18480
2019-04-17,26.100000,27.850000,26.100000,27.250000,27.250000,17378
2019-04-18,27.700001,27.700001,27.000000,27.200001,27.200001,9678
2019-04-23,27.400000,27.700001,27.200001,27.200001,27.200001,16165
2019-04-24,27.400000,27.500000,26.549999,26.850000,26.850000,6201
2019-04-25,26.950001,27.000000,25.350000,25.450001,25.450001,9438
2019-04-26,25.200001,26.450001,25.200001,26.200001,26.200001,4720
2019-04-29,26.100000,28.000000,26.100000,27.549999,27.549999,10361
2019-04-30,28.000000,28.000000,25.900000,26.200001,26.200001,12053
2019-05-02,26.000000,27.000000,26.000000,26.750000,26.750000,1259
2019-05-03,26.900000,28.000000,26.650000,27.000000,27.000000,11438
2019-05-06,26.750000,26.750000,26.600000,26.750000,26.750000,2310
2019-05-07,26.950001,26.950001,26.000000,26.000000,26.000000,4704
2019-05-08,26.000000,27.000000,25.950001,25.950001,25.950001,3414
2019-05-09,26.299999,26.350000,25.600000,25.650000,25.650000,2969
2019-05-10,14.500000,14.700000,12.360000,13.200000,13.200000,177284
2019-05-13,13.000000,13.000000,10.160000,10.540000,10.540000,130225
2019-05-14,11.000000,13.400000,10.900000,13.180000,13.180000,128390
2019-05-15,13.180000,14.200000,12.860000,13.700000,13.700000,79629
2019-05-16,13.980000,13.980000,12.560000,13.000000,13.000000,50375
2019-05-17,13.460000,13.660000,12.600000,12.660000,12.660000,35252
2019-05-20,13.100000,13.340000,12.000000,12.000000,12.000000,40408
2019-05-21,12.400000,13.200000,12.000000,12.920000,12.920000,22423
2019-05-22,12.920000,13.160000,12.800000,12.800000,12.800000,21575
2019-05-23,12.840000,12.840000,11.540000,12.000000,12.000000,43247
2019-05-24,12.420000,12.700000,11.800000,12.320000,12.320000,25794
2019-05-27,12.980000,12.980000,11.900000,12.000000,12.000000,19733
2019-05-28,12.020000,12.580000,11.820000,12.020000,12.020000,21665
2019-05-29,11.860000,12.040000,11.240000,12.000000,12.000000,27908
2019-05-31,12.000000,12.140000,11.180000,11.740000,11.740000,13006
2019-06-03,12.000000,12.180000,11.340000,11.660000,11.660000,18181
2019-06-04,11.500000,11.680000,11.000000,11.340000,11.340000,20652
2019-06-05,11.360000,11.800000,11.100000,11.740000,11.740000,21579
2019-06-06,11.520000,12.000000,11.000000,11.980000,11.980000,72640
2019-06-07,11.980000,12.000000,11.360000,11.360000,11.360000,13651
2019-06-11,11.780000,11.780000,11.220000,11.440000,11.440000,17258
2019-06-12,11.340000,11.620000,11.000000,11.100000,11.100000,31405
2019-06-13,11.000000,11.500000,10.900000,11.420000,11.420000,20257
2019-06-14,11.380000,11.460000,10.900000,11.080000,11.080000,20034
2019-06-17,11.200000,11.220000,10.620000,10.880000,10.880000,42336
2019-06-18,10.920000,11.420000,10.680000,10.980000,10.980000,21814
2019-06-19,10.900000,11.080000,10.640000,10.800000,10.800000,27874
2019-06-20,10.820000,10.900000,10.020000,10.280000,10.280000,47919
2019-06-21,10.140000,10.140000,8.990000,9.420000,9.420000,63159
2019-06-24,9.500000,9.600000,9.300000,9.540000,9.540000,34996
2019-06-25,9.350000,9.720000,9.350000,9.570000,9.570000,32221
2019-06-26,9.600000,9.620000,9.320000,9.360000,9.360000,16100
2019-06-27,9.310000,11.160000,9.310000,10.920000,10.920000,57872
2019-06-28,11.720000,11.720000,11.000000,11.220000,11.220000,28901
2019-07-01,11.360000,11.800000,11.200000,11.800000,11.800000,20250
2019-07-02,11.580000,11.740000,11.220000,11.500000,11.500000,11522
2019-07-03,11.500000,11.680000,11.480000,11.600000,11.600000,10507
2019-07-04,11.800000,11.800000,11.280000,11.440000,11.440000,9952
2019-07-05,11.540000,11.540000,10.100000,10.780000,10.780000,21863
2019-07-08,10.900000,11.480000,10.600000,10.700000,10.700000,24794
2019-07-09,10.600000,10.600000,9.850000,9.900000,9.900000,23156
2019-07-10,10.020000,10.020000,9.330000,9.670000,9.670000,32886
2019-07-11,9.980000,10.040000,9.450000,9.470000,9.470000,23839
2019-07-12,9.650000,10.000000,9.400000,9.500000,9.500000,29428
2019-07-15,9.660000,9.660000,9.410000,9.530000,9.530000,10945
2019-07-16,9.450000,9.710000,9.400000,9.610000,9.610000,24841
2019-07-17,9.350000,9.540000,7.560000,8.000000,8.000000,164839
2019-07-18,7.800000,7.900000,6.810000,7.300000,7.300000,117538
2019-07-19,7.500000,7.520000,6.510000,6.680000,6.680000,150249
2019-07-22,6.800000,6.800000,5.570000,5.650000,5.650000,123612
2019-07-23,5.650000,6.100000,5.630000,5.700000,5.700000,62224
2019-07-24,5.950000,5.950000,5.030000,5.100000,5.100000,68871
