ShortName;ShortNameAlt;SecDescriptionFull;SecDescriptionFullAlt;ISIN;ValorSymbol;ValorSymbolAlt;ValorNumber;TradingBaseCurrency;Exchange;GeographicalAreaCode;GeographicalAreaDesc;IndustrySectorCode;IndustrySectorDesc;SecTypeCode;SecTypeDesc;IssuerNameShort;ListingTypeCode;ListingTypeDesc;ListingMemberOrgAbbrev;AcceptOrdersDate;FirstTradingDate;LastTradingDate;SmallestTradeableUnit;PriceStepGroupCode;PriceStepGroupDesc;StopTradingRange;StopTradingRangeType;StopTradingDuration;SettlementCycleDays;AutomaticSettlementFlag;ProductLine;NominalValue;NominalCurrency;NumberInIssue;DividendEntitlementFlag;DividendFrequencyCode;SecCode;CCPEligibleFlag
ABB LTD N 2. LINIE;ABB LTD N 2. LINIE;ABB Ltd, Zürich;ABB Ltd, Zürich;CH0357679619;ABBNE;ABBNE;35767961;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;ABB Ltd;IR;International Reporting Standard;N/A;20200722;20200723;20210324;1;LE;LE;;4;30;2;0;DS;0.12;CHF;1;1;;3498943;0
ACHIKO N;ACHIKO N;Achiko AG, Zurich;Achiko AG, Zurich;CH0522213468;ACHI;ACHI;52221346;CHF;XSWX;CH;Switzerland;005;Misc. services;RS;Registered share;Achiko AG;IR;International Reporting Standard;N/A;20200618;20200619;;1;LB;LB;10;1;300;2;1;DS;0.01;CHF;108903900;1;;3491863;1
ADDEX N;ADDEX N;Addex Therapeutics Ltd.;Addex Therapeutics Ltd.;CH0029850754;ADXN;ADXN;2985075;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Addex Therapeutics Ltd;IR;International Reporting Standard;N/A;20070521;20070522;;1;LB;LB;10;1;300;2;1;DS;1;CHF;39748635;1;;69758;1
ADECCO N 2. LINIE;ADECCO N 2. LINIE;Adecco Group AG, Zürich;Adecco Group AG, Zürich;CH0532347462;ADENE;ADENE;53234746;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;Adecco;IR;International Reporting Standard;N/A;20200325;20200326;20230324;1;LE;LE;;4;30;2;0;DS;0.1;CHF;1;1;;3476467;0
ADVAL TECH N;ADVAL TECH N;Adval Tech Holding AG, Niederwangen;Adval Tech Holding SA, Niederwangen;CH0008967926;ADVN;ADVN;896792;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;Adval Tech;SR;Swiss Reporting Standard;CSCH;19980603;19980604;;1;LA;LA;2;1;900;2;1;DS;20;CHF;730000;1;;14388;1
AEVIS N;AEVIS N;AEVIS VICTORIA SA;AEVIS VICTORIA SA;CH0478634105;AEVS;AEVS;47863410;CHF;XSWX;CH;Switzerland;005;Misc. services;RS;Registered share;AEVIS VICTORIA SA;SR;Swiss Reporting Standard;N/A;20190606;20190607;;1;LB;LB;2;1;900;2;1;DS;1;CHF;83499514;1;;3429690;1
AIRESIS N;AIRESIS N;Airesis SA, Clarens;Airesis SA, Clarens;CH0010947627;AIRE;AIRE;1094762;CHF;XSWX;CH;Switzerland;005;Misc. services;RS;Registered share;Airesis;IR;International Reporting Standard;BCVLA;20000714;20000717;;1;LA;LA;10;1;300;2;1;DS;0.25;CHF;62022521;1;;20203;1
ALLREAL N;ALLREAL N;Allreal Holding AG, Baar;Allreal Holding AG, Baar;CH0008837566;ALLN;ALLN;883756;CHF;XSWX;CH;Switzerland;028;Real-estate companies;RS;Registered share;Allreal Holding AG;IG;Standard for Real Estate Companies;JVCZH;20000302;20000303;;1;LC;LC;2;1;900;2;1;DS;1;CHF;15942821;1;;18861;1
ALPINE SELECT N;ALPINE SELECT N;Alpine Select AG, Zug;Alpine Select AG, Zug;CH0019199550;ALPN;ALPN;1919955;CHF;XSWX;CH;Switzerland;022;Investment companies;RS;Registered share;Alpine Select;SR;Swiss Reporting Standard;N/A;20040901;20040902;;1;LA;LA;2;1;900;2;1;DS;0.02;CHF;9257970;1;;32858;1
ALPINE SELECT N 2. LINIE;ALPINE SELECT N 2. LINIE;Alpine Select AG, Zug;Alpine Select AG, Zug;CH0550395120;ALPNE;ALPNE;55039512;CHF;XSWX;CH;Switzerland;022;Investment companies;RS;Registered share;Alpine Select;SR;Swiss Reporting Standard;N/A;20200625;20200626;20220531;1;LA;LA;;4;30;2;0;DS;0.02;CHF;1;1;;3494329;0
