ShortName;ShortNameAlt;SecDescriptionFull;SecDescriptionFullAlt;ISIN;ValorSymbol;ValorSymbolAlt;ValorNumber;TradingBaseCurrency;Exchange;GeographicalAreaCode;GeographicalAreaDesc;IndustrySectorCode;IndustrySectorDesc;SecTypeCode;SecTypeDesc;IssuerNameShort;ListingTypeCode;ListingTypeDesc;ListingMemberOrgAbbrev;AcceptOrdersDate;FirstTradingDate;LastTradingDate;SmallestTradeableUnit;PriceStepGroupCode;PriceStepGroupDesc;StopTradingRange;StopTradingRangeType;StopTradingDuration;SettlementCycleDays;AutomaticSettlementFlag;ProductLine;NominalValue;NominalCurrency;NumberInIssue;DividendEntitlementFlag;DividendFrequencyCode;SecCode;CCPEligibleFlag
ABB LTD N;ABB LTD N;ABB Ltd, Zürich;ABB Ltd, Zürich;CH0012221716;ABBN;ABBN;1222171;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;ABB Ltd;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.12;CHF;2168148264;1;;3519498;1
ADECCO N;ADECCO N;Adecco Group AG, Zürich;Adecco Group AG, Zürich;CH0012138605;ADEN;ADEN;1213860;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;Adecco;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.1;CHF;163124177;1;;3519499;1
ALCON N;ALCON N;Alcon Inc., Freiburg;Alcon Inc., Freiburg;CH0432492467;ALC;ALC;43249246;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Alcon Inc.;IR;International Reporting Standard;N/A;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.04;CHF;499700000;1;;3519512;1
AMS;AMS;ams AG, Unterpremstätten (A);ams AG, Unterpremstätten (A);AT0000A18XM4;AMS;AMS;24924656;CHF;XSWX;AT;Austria;010;Electrical engineering & electronics;BS;Bearer share;ams AG;IR;International Reporting Standard;N/A;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0;EUR;274289280;1;;3519496;1
CLARIANT N;CLARIANT N;Clariant AG, Muttenz;Clariant AG, Muttenz;CH0012142631;CLN;CLN;1214263;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Clariant AG;IR;International Reporting Standard;UBSZH1;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;3.7;CHF;331939199;1;;3519500;1
CS GROUP N;CS GROUP N;Credit Suisse Group AG, Zürich;Credit Suisse Group AG, Zurich;CH0012138530;CSGN;CSGN;1213853;CHF;XSWX;CH;Switzerland;001;Banks;RS;Registered share;CSG;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.04;CHF;2447747720;1;;3519502;1
GEBERIT N;GEBERIT N;Geberit AG, Jona;Geberit AG, Jona;CH0030170408;GEBN;GEBN;3017040;CHF;XSWX;CH;Switzerland;012;Misc. Industrials;RS;Registered share;Geberit AG;IR;International Reporting Standard;ZKBZH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.1;CHF;37041427;1;;3519490;1
GIVAUDAN N;GIVAUDAN N;Givaudan AG, Vernier;Givaudan AG, Vernier;CH0010645932;GIVN;GIVN;1064593;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Givaudan SA;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;10;CHF;9233586;1;;3519494;1
JULIUS BAER N;JULIUS BAER N;Julius Bär Gruppe AG, Zürich;Julius Bär Gruppe AG, Zürich;CH0102484968;BAER;BAER;10248496;CHF;XSWX;CH;Switzerland;001;Banks;RS;Registered share;Julius Bär Gruppe;IR;International Reporting Standard;N/A;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.02;CHF;223809448;1;;3519507;1
KUEHNE+NAGEL INT N;KUEHNE+NAGEL INT N;Kühne + Nagel International AG, Schindellegi;Kühne + Nagel International AG, Schindellegi;CH0025238863;KNIN;KNIN;2523886;CHF;XSWX;CH;Switzerland;003;Transport;RS;Registered share;Kühne + Nagel AG;IR;International Reporting Standard;UBSZH1;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;1;CHF;120000000;1;;3519488;1
LAFARGEHOLCIM N;LAFARGEHOLCIM N;LafargeHolcim Ltd, Jona;LafargeHolcim Ltd, Jona;CH0012214059;LHN;LHN;1221405;CHF;XSWX;CH;Switzerland;011;Building contractors & materials;RS;Registered share;LafargeHolcim Ltd;IR;International Reporting Standard;UBSZH1;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;2;CHF;615929059;1;;3519501;1
LOGITECH N;LOGITECH N;Logitech International S.A., Apples;Logitech International S.A., Apples;CH0025751329;LOGN;LOGN;2575132;CHF;XSWX;CH;Switzerland;010;Electrical engineering & electronics;RS;Registered share;Logitech;IR;International Reporting Standard;UBSZH1;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.25;CHF;173106620;1;;3519489;1
LONZA N;LONZA N;Lonza Group AG, Basel;Lonza Group AG, Basel;CH0013841017;LONN;LONN;1384101;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Lonza Group AG;IR;International Reporting Standard;ZKBZH;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;1;CHF;74468752;1;;3519504;1
NESTLE N;NESTLE N;Nestlé AG, Cham & Vevey;Nestlé AG, Cham & Vevey;CH0038863350;NESN;NESN;3886335;CHF;XSWX;CH;Switzerland;009;Food, luxury goods;RS;Registered share;Nestlé;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LF;LF;1.5;1;300;2;1;BC;0.1;CHF;2881000000;1;;3519506;1
NOVARTIS N;NOVARTIS N;Novartis AG, Basel;Novartis S.A., Bale;CH0012005267;NOVN;NOVN;1200526;CHF;XSWX;CH;Switzerland;008;Chemicals, Pharma;RS;Registered share;Novartis;IR;International Reporting Standard;CSCH;20201207;20201207;;1;LF;LF;1.5;1;300;2;1;BC;0.5;CHF;2467060920;1;;3519491;1
PARTNERS GROUP N;PARTNERS GROUP N;Partners Group Holding AG, Baar;Partners Group Holding AG, Baar;CH0024608827;PGHN;PGHN;2460882;CHF;XSWX;CH;Switzerland;005;Misc. services;RS;Registered share;Partners Group Holding AG;IR;International Reporting Standard;N/A;20201207;20201207;;1;LE;LE;1.5;1;300;2;1;BC;0.01;CHF;26700000;1;;3519486;1
