ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ACHIKO N;CH0522213468;ACHI;52221346;0.276;0.29;0.272;20210326;0.28;0.28;482850;0;19552;502402;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.68;1.69;1.65;20210326;1.67;1.69;46041;0;0;46041;CHF;20200810;2.95;20200402;1.025;20070522;;XSWX;RS;CH;0;1.89
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;175;175;175;20210326;171;175;436;0;0;436;CHF;20210115;189;20201103;125;19980604;;XSWX;RS;CH;0;175.99
AEVIS N;CH0478634105;AEVS;47863410;13.7;13.9;13.3;20210326;13.8;13.9;40263;0;256;40519;CHF;20210325;14;20200715;10.2;20190607;;XSWX;RS;CH;0;12.6
AIRESIS N;CH0010947627;AIRE;1094762;0.79;0.79;0.79;20210326;0.78;0.79;59;0;0;59;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.78
ALLREAL N;CH0008837566;ALLN;883756;191.8;194.2;191.6;20210326;193;193.6;25378;0;1921;27299;CHF;20201109;207;20200330;169;20000303;;XSWX;RS;CH;0;193.58
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.6;14.6;14.6;20210326;14.6;14.6;100;0;0;100;CHF;20210316;14.7;20200525;12.1;20040902;;XSWX;RS;CH;0;13.92
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.7;;;20210217;14.7;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.91
ALSO N;CH0024590272;ALSN;2459027;270;273.5;268.5;20210326;266.5;270;9651;0;562;10213;CHF;20210311;278.5;20200330;146.8;20060323;;XSWX;RS;CH;0;253.69
ALUFLEXPACK N;CH0453226893;AFP;45322689;34.1;34.5;33;20210326;33.5;33.3;9115;4764;1616;15495;CHF;20210208;42.2;20200417;17.7;20190628;;XSWX;RS;CH;0;37.16
APG SGA N;CH0019107025;APGN;1910702;215;217;211.5;20210326;213;211.5;1930;0;47;1977;CHF;20210319;232;20200403;158.2;20040818;;XSWX;RS;CH;0;202.83
ARBONIA N;CH0110240600;ARBN;11024060;16.7;16.98;16.58;20210326;16.64;16.58;114374;0;3859;118233;CHF;20210315;17;20200330;6.85;20100422;;XSWX;RS;CH;0;15.41
Arundel N;CH0002271010;ARON;227101;2.5;2.6;2.5;20210326;2.46;2.6;56;0;0;56;CHF;20200828;4;20200331;1.52;20050729;;XSWX;RS;CH;0;2.52
ARYZTA N;CH0043238366;ARYN;4323836;1.063;1.085;1.044;20210326;1.046;1.058;4759275;0;77734;4837009;CHF;20210322;1.13;20200416;0.281;20180924;;XSWX;RS;CH;0;0.88
ASCOM N;CH0011339204;ASCN;1133920;14.66;15;14.5;20210326;14.74;14.76;31215;0;1542;32757;CHF;20210202;15.76;20200330;5;20001108;;XSWX;RS;CH;0;14.53
ASMALLWORLD N;CH0404880129;ASWN;40488012;3.1;3.13;3.1;20210326;3.11;3.11;182;0;0;182;CHF;20201230;4.88;20200526;1.3;20180320;;XSWX;RS;CH;0;3.36
AUTONEUM N;CH0127480363;AUTN;12748036;170.4;174.3;169.3;20210326;169.6;171.2;21606;0;262;21868;CHF;20210318;201;20200330;54.6;20110513;;XSWX;RS;CH;0;171.08
BACHEM N -B-;CH0012530207;BANB;1253020;397.5;398.5;393;20210326;391;393;13738;0;9443;23181;CHF;20201005;418;20200330;183;20010629;;XSWX;RS;CH;0;369.52
BALOISE N;CH0012410517;BALN;1241051;161;161.6;159.3;20210326;159.4;159.9;77977;29200;2393;109570;CHF;20210308;168.8;20201028;120.8;20180924;;XSWX;RS;CH;0;157.91
BANQUE PROFIL DE GESTION N;CH0473243506;BPDG;47324350;1.8;1.83;1.74;20210326;1.74;1.74;16000;0;0;16000;CHF;20201118;2.72;20200414;1.16;20190517;;XSWX;RS;CH;0;1.89
BARRY CALLEBAUT N;CH0009002962;BARN;900296;2136;2136;2114;20210326;2122;2130;4725;0;314;5039;CHF;20210326;2136;20200615;1766;19980615;;XSWX;RS;CH;0;2034.41
