ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;29.05;29.3;28.94;20210324;29.29;29.07;4542910;2236036;276959;7055905;CHF;20210323;29.49;20200401;16.135;20201207;;XSWX;RS;CH;9450;26.94
ADECCO N;CH0012138605;ADEN;1213860;63.42;63.76;61.66;20210324;62.86;62.44;386362;0;37616;423978;CHF;20210310;64.5;20200403;35.05;20201207;;XSWX;RS;CH;7561;59.43
ALCON N;CH0432492467;ALC;43249246;65.02;66.36;64.22;20210324;64.68;64.52;877691;11300;96629;985620;CHF;20210204;69.1;20200327;44.42;20201207;;XSWX;RS;CH;3728;63.72
AMS;AT0000A18XM4;AMS;24924656;18.635;18.97;18.02;20210324;18.39;18.455;2747308;0;339397;3086705;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;9973;21.06
CLARIANT N;CH0012142631;CLN;1214263;18.945;18.99;18.6;20210324;18.765;18.7;819733;0;55004;874737;CHF;20200702;20.49;20201030;15.115;20201207;;XSWX;RS;CH;9077;19.24
CS GROUP N;CH0012138530;CSGN;1213853;12.235;12.245;11.97;20210324;12.17;12.06;7295163;230000;156918;7682081;CHF;20210225;13.5;20200514;7.152;20201207;;XSWX;RS;CH;37190;12.34
GEBERIT N;CH0030170408;GEBN;3017040;588.4;590.2;582.2;20210324;585.4;584.8;67506;0;2678;70184;CHF;20210114;600.6;20200406;397.2;20201207;;XSWX;RS;CH;1058;563.15
GIVAUDAN N;CH0010645932;GIVN;1064593;3616;3679;3603;20210324;3631;3640;20658;0;1466;22124;CHF;20200921;4099;20200327;2833;20201207;;XSWX;RS;CH;58;3595.63
JULIUS BAER N;CH0102484968;BAER;10248496;61.5;61.76;60.02;20210324;60.98;60.5;420704;0;40834;461538;CHF;20210324;61.76;20200402;30.12;20201207;;XSWX;RS;CH;8053;55.84
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;272.5;273.3;266.1;20210324;268.1;267.2;174239;0;23202;197441;CHF;20210323;273.6;20200330;128.15;20201207;;XSWX;RS;CH;2015;221.89
